time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
176,758,1903.9572713821256,451.21250246157854,4.219646532388031,78.99964981502606,68.97421279745132,83.44565560556624,57.94323137295744,38.569354794300935,71.50495334338537,13.0
177,744,2003.4435017023864,443.41270452618716,4.518236580170126,79.90041705677078,69.18836395023308,83.44565560556624,57.94323137295744,37.93438938670391,71.90818677578741,13.5
178,782,2096.5779171543904,430.95437634646305,4.864964906328877,78.68575200066002,69.25961308867933,83.44565560556624,57.94323137295744,37.94393044625559,72.56864126208589,13.5
179,854,2183.225463412168,421.8602689926552,5.175233658825973,73.49197697610762,69.28346739852016,83.44565560556624,57.94323137295744,38.13525594237838,72.76153938531395,13.5
180,931,2272.0816553473023,415.26384682040054,5.47141696235831,67.3522213026712,69.22366354111023,83.44565560556624,57.94323137295744,38.50835441633486,72.41550017734934,13.0
181,974,2364.746114980272,400.4801580802176,5.904777221214053,63.024237037298434,69.24936309933136,83.44565560556624,57.943231372957456,38.71194567559391,73.18263282218841,13.0
182,944,2440.931078135798,389.79394451570397,6.262106203749551,62.58048237218529,69.12235436955606,83.44565560556624,57.94323137295744,38.60108480516446,72.54271204856911,13.0
182,873,2512.6896541504693,378.7230300111727,6.634636541845218,66.14392218533403,69.03186237405419,83.44565560556624,57.943231372957435,38.52018335260869,72.18457823089085,13.5
183,852,2581.941454071024,370.8715330213557,6.961821612559166,69.57552877401868,68.96321854968106,83.44565560556624,57.943231372957435,38.34089826555486,72.36151849345651,13.5
184,858,2649.8977988627653,355.90960949708085,7.445423579900558,70.17630257066877,68.98707271258442,83.44565560556624,57.94323137295742,38.346955606590406,72.30937849605421,13.5
185,873,2705.7420255356433,346.0091544653488,7.819856759907232,69.32929613341985,68.97614865941709,83.44565560556624,57.94323137295736,38.50094809753639,72.73834505912248,13.0
186,821,2747.2256362057174,335.7179285442681,8.18313650426169,70.90506506607062,69.13214839302005,83.44565560556624,57.94323137295757,37.93106327338948,71.78985348517968,14.0
186,768,2765.025664133209,329.1712841056926,8.39996013517812,75.60330389768575,69.17365583134715,83.44565560556624,57.9432313729576,38.07346984202236,72.02324716507944,14.0
